move_name,move_id,Unnamed: 0,accuracy,damage_class,effect_chance,effect,power,pp,priority,short_effect,target,move_type,type_name,type_id
autotomize,475,474,,status,,Raises the user's Speed by two stages and halves the user's weight.,,15.0,0,Raises the user's Speed by two stages and halves the user's weight.,user,steel,steel,9
steamroller,537,536,100.0,physical,30.0,Does not interact with minimize. Additionally; Has a 30% chance to make the target flinch.,65.0,20.0,0,Has a 30% chance to make the target flinch.,selected-pokemon,bug,bug,18
stomp,23,22,100.0,physical,30.0,Does not interact with minimize. Additionally; Has a 30% chance to make the target flinch.,65.0,20.0,0,Has a 30% chance to make the target flinch.,selected-pokemon,normal,normal,19
slack-off,303,302,,status,,Heals the user by half its max HP.,,5.0,0,Heals the user by half its max HP.,user,normal,normal,19
razor-shell,534,533,95.0,physical,50.0,Has a 50% chance to lower the target's Defense by one stage.,75.0,10.0,0,Has a 50% chance to lower the target's Defense by one stage.,selected-pokemon,water,water,12
sonic-boom,49,48,90.0,special,,Inflicts 20 points of damage.,,20.0,0,Inflicts 20 points of damage.,selected-pokemon,normal,normal,19
lock-on,199,198,,status,,Ensures that the user's next move will hit the target.,,5.0,0,Ensures that the user's next move will hit the target.,selected-pokemon,normal,normal,19
metal-sound,319,318,85.0,status,,Lowers the target's Special Defense by two stages.,,40.0,0,Lowers the target's Special Defense by two stages.,selected-pokemon,steel,steel,9
mirror-shot,429,428,85.0,special,30.0,Has a 30% chance to lower the target's accuracy by one stage.,65.0,10.0,0,Has a 30% chance to lower the target's accuracy by one stage.,selected-pokemon,steel,steel,9
magnet-bomb,443,442,,physical,,Hits Pokémon under the effects of dig and fly. Additionally; Never misses.,60.0,20.0,0,Never misses.,selected-pokemon,steel,steel,9
steel-beam,796,777,95.0,special,,"Inflicts damage, and the user takes damage equal to half of its max HP, rounded up.",140.0,5.0,0,"Inflicts damage, and the user takes damage equal to half of its max HP, rounded up.",selected-pokemon,steel,steel,9
trump-card,376,375,,special,,"Power increases when this move has less PP, up to a maximum of 200.",,5.0,0,"Power increases when this move has less PP, up to a maximum of 200.",selected-pokemon,normal,normal,19
first-impression,660,659,100.0,physical,,Can only be used as the first move after the user enters battle.,90.0,10.0,2,Can only be used as the first move after the user enters battle.,selected-pokemon,bug,bug,18
jump-kick,26,25,95.0,physical,,"If this move misses, the user takes 1 point of damage in recoil. Additionally; If the user misses, it takes half the damage it would have inflicted in recoil.",100.0,10.0,0,"If the user misses, it takes half the damage it would have inflicted in recoil.",selected-pokemon,fighting,fighting,7
double-hit,458,457,90.0,physical,,Hits twice in one turn.,35.0,10.0,0,Hits twice in one turn.,selected-pokemon,normal,normal,19
lick,122,121,100.0,physical,30.0,Has a 30% chance to paralyze the target.,30.0,30.0,0,Has a 30% chance to paralyze the target.,selected-pokemon,ghost,ghost,17
perish-song,195,194,,status,,User and target both faint after three turns.,,5.0,0,User and target both faint after three turns.,all-pokemon,normal,normal,19
icicle-spear,333,332,100.0,physical,,Hits 2-5 times in one turn.,25.0,30.0,0,Hits 2-5 times in one turn.,selected-pokemon,ice,ice,10
ice-shard,420,419,100.0,physical,,Inflicts regular damage with no additional effect.,40.0,30.0,1,Inflicts regular damage with no additional effect.,selected-pokemon,ice,ice,10
entrainment,494,493,100.0,status,,Copies the user's ability onto the target.,,15.0,0,Copies the user's ability onto the target.,selected-pokemon,normal,normal,19
triple-axel,813,794,90.0,physical,,Inflicts regular damage with no additional effect.,20.0,10.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,ice,ice,10
sheer-cold,329,328,30.0,special,,Causes a one-hit KO.,,5.0,0,Causes a one-hit KO.,selected-pokemon,ice,ice,10
frost-breath,524,523,90.0,special,100.0,Always scores a critical hit.,60.0,10.0,0,Always scores a critical hit.,selected-pokemon,ice,ice,10
smog,123,122,70.0,special,40.0,Has a 40% chance to poison the target.,30.0,20.0,0,Has a 40% chance to poison the target.,selected-pokemon,poison,poison,1
poison-gas,139,138,90.0,status,,Poisons the target.,,40.0,0,Poisons the target.,all-opponents,poison,poison,1
shadow-punch,325,324,,physical,,Hits Pokémon under the effects of dig and fly. Additionally; Never misses.,60.0,20.0,0,Never misses.,selected-pokemon,ghost,ghost,17
shadow-sneak,425,424,100.0,physical,,Inflicts regular damage with no additional effect.,40.0,30.0,1,Inflicts regular damage with no additional effect.,selected-pokemon,ghost,ghost,17
clamp,128,127,85.0,physical,100.0,Prevents the target from fleeing and inflicts damage for 2-5 turns.,35.0,15.0,0,Prevents the target from fleeing and inflicts damage for 2-5 turns.,selected-pokemon,water,water,12
spike-cannon,131,130,100.0,physical,,Hits 2-5 times in one turn.,20.0,15.0,0,Hits 2-5 times in one turn.,selected-pokemon,normal,normal,19
icicle-crash,556,555,90.0,physical,30.0,Has a 30% chance to make the target flinch.,85.0,10.0,0,Has a 30% chance to make the target flinch.,selected-pokemon,ice,ice,10
destiny-bond,194,193,,status,,"If the user faints this turn, the target automatically will, too.",,5.0,0,"If the user faints this turn, the target automatically will, too.",user,ghost,ghost,17
poltergeist,809,790,90.0,physical,,Inflicts regular damage with no additional effect.,110.0,5.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,ghost,ghost,17
phantom-force,566,565,100.0,physical,,"User vanishes, dodging all attacks, and hits next turn.  Hits through Protect and Detect.",90.0,10.0,0,"User vanishes, dodging all attacks, and hits next turn.  Hits through Protect and Detect.",selected-pokemon,ghost,ghost,17
power-split,471,470,,status,,Averages Attack and Special Attack with the target.,,10.0,0,Averages Attack and Special Attack with the target.,selected-pokemon,psychic,psychic,8
vice-grip,11,10,100.0,physical,,Inflicts regular damage with no additional effect.,55.0,30.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,normal,normal,19
guillotine,12,11,30.0,physical,,Causes a one-hit KO.,,5.0,0,Causes a one-hit KO.,selected-pokemon,normal,normal,19
crabhammer,152,151,90.0,physical,,Has an increased chance for a critical hit.,100.0,10.0,0,Has an increased chance for a critical hit.,selected-pokemon,water,water,12
magnetic-flux,602,601,,status,,Raises the Defense and Special Defense of all friendly Pokémon with plus or minus by one stage.,,20.0,0,Raises the Defense and Special Defense of all friendly Pokémon with plus or minus by one stage.,user-and-allies,electric,electric,13
egg-bomb,121,120,75.0,physical,,Inflicts regular damage with no additional effect.,100.0,10.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,normal,normal,19
barrage,140,139,85.0,physical,,Hits 2-5 times in one turn.,15.0,20.0,0,Hits 2-5 times in one turn.,selected-pokemon,normal,normal,19
wood-hammer,452,451,100.0,physical,,User receives 1/3 the damage inflicted in recoil.,120.0,15.0,0,User receives 1/3 the damage inflicted in recoil.,selected-pokemon,grass,grass,6
bone-club,125,124,85.0,physical,10.0,Has a 10% chance to make the target flinch.,65.0,20.0,0,Has a 10% chance to make the target flinch.,selected-pokemon,ground,ground,4
bonemerang,155,154,90.0,physical,,Hits twice in one turn.,50.0,10.0,0,Hits twice in one turn.,selected-pokemon,ground,ground,4
bone-rush,198,197,90.0,physical,,Hits 2-5 times in one turn.,25.0,10.0,0,Hits 2-5 times in one turn.,selected-pokemon,ground,ground,4
high-jump-kick,136,135,90.0,physical,,"If this move misses, the user takes 1 point of damage in recoil. Additionally; If the user misses, it takes half the damage it would have inflicted in recoil.",130.0,10.0,0,"If the user misses, it takes half the damage it would have inflicted in recoil.",selected-pokemon,fighting,fighting,7
mach-punch,183,182,100.0,physical,,Inflicts regular damage with no additional effect.,40.0,30.0,1,Inflicts regular damage with no additional effect.,selected-pokemon,fighting,fighting,7
comet-punch,4,3,85.0,physical,,Hits 2-5 times in one turn.,18.0,15.0,0,Hits 2-5 times in one turn.,selected-pokemon,normal,normal,19
dizzy-punch,146,145,100.0,physical,20.0,Has a 20% chance to confuse the target.,70.0,10.0,0,Has a 20% chance to confuse the target.,selected-pokemon,normal,normal,19
sky-uppercut,327,326,90.0,physical,,Inflicts regular damage and can hit Bounce and Fly users.,85.0,15.0,0,Inflicts regular damage and can hit Bounce and Fly users.,selected-pokemon,fighting,fighting,7
metal-burst,368,367,100.0,physical,,Strikes back at the last Pokémon to hit the user this turn with 1.5× the damage.,,10.0,0,Strikes back at the last Pokémon to hit the user this turn with 1.5× the damage.,specific-move,steel,steel,9
octazooka,190,189,85.0,special,50.0,Has a 50% chance to lower the target's accuracy by one stage.,65.0,10.0,0,Has a 50% chance to lower the target's accuracy by one stage.,selected-pokemon,water,water,12
camouflage,293,292,,status,,User's type changes to match the terrain.,,20.0,0,User's type changes to match the terrain.,user,normal,normal,19
lovely-kiss,142,141,75.0,status,,Puts the target to sleep.,,10.0,0,Puts the target to sleep.,selected-pokemon,normal,normal,19
powder-snow,181,180,100.0,special,10.0,Has a 10% chance to freeze the target.,40.0,25.0,0,Has a 10% chance to freeze the target.,all-opponents,ice,ice,10
heart-stamp,531,530,100.0,physical,30.0,Has a 30% chance to make the target flinch.,60.0,25.0,0,Has a 30% chance to make the target flinch.,selected-pokemon,psychic,psychic,8
aurora-veil,694,693,,status,,"Reduces damage five turns, but must be used during hail.",,20.0,0,"Reduces damage five turns, but must be used during hail.",users-field,ice,ice,10
lava-plume,436,435,100.0,special,30.0,Has a 30% chance to burn the target.,80.0,15.0,0,Has a 30% chance to burn the target.,all-other-pokemon,fire,fire,14
storm-throw,480,479,100.0,physical,,Always scores a critical hit.,60.0,10.0,0,Always scores a critical hit.,selected-pokemon,fighting,fighting,7
freeze-dry,573,572,100.0,special,10.0,Super-effective against water.,70.0,20.0,0,Super-effective against water.,selected-pokemon,ice,ice,10
sparkling-aria,664,663,100.0,special,,Cures the target of burns.,90.0,10.0,0,Cures the target of burns.,all-other-pokemon,water,water,12
transform,144,143,,status,,User becomes a copy of the target until it leaves battle.,,10.0,0,User becomes a copy of the target until it leaves battle.,selected-pokemon,normal,normal,19
sharpen,159,158,,status,,Raises the user's Attack by one stage.,,30.0,0,Raises the user's Attack by one stage.,user,normal,normal,19
conversion,160,159,,status,,User's type changes to the type of one of its moves at random.,,30.0,0,User's type changes to the type of one of its moves at random.,user,normal,normal,19
conversion-2,176,175,,status,,Changes the user's type to a random type either resistant or immune to the last move used against it.,,30.0,0,Changes the user's type to a random type either resistant or immune to the last move used against it.,selected-pokemon,normal,normal,19
draco-meteor,434,433,90.0,special,100.0,Lowers the user's Special Attack by two stages after inflicting damage.,130.0,5.0,0,Lowers the user's Special Attack by two stages after inflicting damage.,selected-pokemon,dragon,dragon,15
psystrike,540,539,100.0,special,,"Inflicts damage based on the target's Defense, not Special Defense.",100.0,10.0,0,"Inflicts damage based on the target's Defense, not Special Defense.",selected-pokemon,psychic,psychic,8
eruption,284,283,100.0,special,,"Inflicts more damage when the user has more HP remaining, with a maximum of 150 power.",150.0,5.0,0,"Inflicts more damage when the user has more HP remaining, with a maximum of 150 power.",all-opponents,fire,fire,14
spider-web,169,168,,status,,Prevents the target from leaving battle.,,10.0,0,Prevents the target from leaving battle.,selected-pokemon,bug,bug,18
sticky-web,564,563,,status,,"Covers the opposing field, lowering opponents' Speed by one stage upon switching in.",,20.0,0,"Covers the opposing field, lowering opponents' Speed by one stage upon switching in.",opponents-field,bug,bug,18
toxic-thread,672,671,100.0,status,100.0,Poisons the target and lowers its Speed by one stage.,,20.0,0,Poisons the target and lowers its Speed by one stage.,selected-pokemon,poison,poison,1
ion-deluge,569,568,,status,,Changes all normal moves to electric moves for the rest of the turn.,,25.0,1,Changes all normal moves to electric moves for the rest of the turn.,entire-field,electric,electric,13
fairy-wind,584,583,100.0,special,,Inflicts regular damage with no additional effect.,40.0,30.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,fairy,fairy,5
cotton-spore,178,177,100.0,status,,Lowers the target's Speed by two stages.,,40.0,0,Lowers the target's Speed by two stages.,all-opponents,grass,grass,6
cotton-guard,538,537,,status,,Raises the user's Defense by three stages.,,10.0,0,Raises the user's Defense by three stages.,user,grass,grass,6
tearful-look,715,714,,status,100.0,Lowers the target's Attack and Special Attack by one stage.,,20.0,0,Lowers the target's Attack and Special Attack by one stage.,selected-pokemon,normal,normal,19
flower-shield,579,578,,status,100.0,Raises the Defense of all grass Pokémon in battle.,,10.0,0,Raises the Defense of all grass Pokémon in battle.,all-pokemon,fairy,fairy,5
arm-thrust,292,291,100.0,physical,,Hits 2-5 times in one turn.,15.0,20.0,0,Hits 2-5 times in one turn.,selected-pokemon,fighting,fighting,7
sketch,166,165,,status,,Permanently becomes the target's last used move.,,1.0,0,Permanently becomes the target's last used move.,selected-pokemon,normal,normal,19
triple-kick,167,166,90.0,physical,,"Hits three times, increasing power by 100% with each successful hit.",10.0,10.0,0,"Hits three times, increasing power by 100% with each successful hit.",selected-pokemon,fighting,fighting,7
milk-drink,208,207,,status,,Heals the user by half its max HP.,,5.0,0,Heals the user by half its max HP.,user,normal,normal,19
sacred-fire,221,220,95.0,physical,50.0,Has a 50% chance to burn the target.  Lets frozen Pokémon thaw themselves.,100.0,5.0,0,Has a 50% chance to burn the target.  Lets frozen Pokémon thaw themselves.,selected-pokemon,fire,fire,14
aeroblast,177,176,95.0,special,,Has an increased chance for a critical hit.,100.0,5.0,0,Has an increased chance for a critical hit.,selected-pokemon,flying,flying,3
heal-block,377,376,100.0,status,,Prevents target from restoring its HP for five turns.,,15.0,0,Prevents target from restoring its HP for five turns.,all-opponents,psychic,psychic,8
leafage,670,669,100.0,physical,,Inflicts regular damage with no additional effect.,40.0,40.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,grass,grass,6
boomburst,586,585,100.0,special,,Inflicts regular damage.,140.0,10.0,0,Inflicts regular damage.,all-other-pokemon,normal,normal,19
force-palm,395,394,100.0,physical,30.0,Has a 30% chance to paralyze the target.,60.0,10.0,0,Has a 30% chance to paralyze the target.,selected-pokemon,fighting,fighting,7
tail-glow,294,293,,status,,Raises the user's Special Attack by three stages.,,20.0,0,Raises the user's Special Attack by three stages.,user,bug,bug,18
stuff-cheeks,747,746,,status,100.0,Cures the entire party of major status effects after inflicting damage.,,10.0,0,Cures the entire party of major status effects after inflicting damage.,user,normal,normal,19
noble-roar,568,567,100.0,status,100.0,Lowers the target's Attack and Special Attack by one stage.,,30.0,0,Lowers the target's Attack and Special Attack by one stage.,selected-pokemon,normal,normal,19
needle-arm,302,301,100.0,physical,30.0,Has a 30% chance to make the target flinch.,60.0,15.0,0,Has a 30% chance to make the target flinch.,selected-pokemon,grass,grass,6
spiky-shield,596,595,,status,,Blocks damaging attacks and damages attacking Pokémon for 1/8 their max HP.,,10.0,4,Blocks damaging attacks and damages attacking Pokémon for 1/8 their max HP.,user,grass,grass,6
dragon-hammer,692,691,100.0,physical,,Inflicts regular damage with no additional effect.,90.0,15.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,dragon,dragon,15
crafty-shield,578,577,,status,,Protects all friendly Pokémon from non-damaging moves.,,10.0,3,Protects all friendly Pokémon from non-damaging moves.,users-field,fairy,fairy,5
mist-ball,296,295,100.0,special,50.0,Has a 50% chance to lower the target's Special Attack by one stage.,95.0,5.0,0,Has a 50% chance to lower the target's Special Attack by one stage.,selected-pokemon,psychic,psychic,8
luster-purge,295,294,100.0,special,50.0,Has a 50% chance to lower the target's Special Defense by one stage.,95.0,5.0,0,Has a 50% chance to lower the target's Special Defense by one stage.,selected-pokemon,psychic,psychic,8
origin-pulse,618,617,85.0,special,,Inflicts regular damage with no additional effect.,110.0,10.0,0,Inflicts regular damage with no additional effect.,all-opponents,water,water,12
precipice-blades,619,618,85.0,physical,,Inflicts regular damage with no additional effect.,120.0,10.0,0,Inflicts regular damage with no additional effect.,all-opponents,ground,ground,4
dragon-ascent,620,619,100.0,physical,100.0,Lowers the user's Defense and Special Defense by one stage after inflicting damage.,120.0,5.0,0,Lowers the user's Defense and Special Defense by one stage after inflicting damage.,selected-pokemon,flying,flying,3
doom-desire,353,352,100.0,special,,Hits the target two turns later.,140.0,5.0,0,Hits the target two turns later.,selected-pokemon,steel,steel,9
psycho-boost,354,353,90.0,special,100.0,Lowers the user's Special Attack by two stages after inflicting damage.,140.0,5.0,0,Lowers the user's Special Attack by two stages after inflicting damage.,selected-pokemon,psychic,psychic,8
attack-order,454,453,100.0,physical,,Has an increased chance for a critical hit.,90.0,15.0,0,Has an increased chance for a critical hit.,selected-pokemon,bug,bug,18
defend-order,455,454,,status,,Raises the user's Defense and Special Defense by one stage.,,10.0,0,Raises the user's Defense and Special Defense by one stage.,user,bug,bug,18
heal-order,456,455,,status,,Heals the user by half its max HP.,,10.0,0,Heals the user by half its max HP.,user,bug,bug,18
aromatic-mist,597,596,,status,,Raises a selected ally's Special Defense by one stage.,,20.0,0,Raises a selected ally's Special Defense by one stage.,ally,fairy,fairy,5
chatter,448,447,100.0,special,100.0,Has a higher chance to confuse the target when the recorded sound is louder.,65.0,20.0,0,Has a higher chance to confuse the target when the recorded sound is louder.,selected-pokemon,flying,flying,3
parting-shot,575,574,100.0,status,100.0,Lowers all targets' Attack and Special Attack by one stage.  Makes the user switch out.,,20.0,0,Lowers all targets' Attack and Special Attack by one stage.  Makes the user switch out.,selected-pokemon,dark,dark,16
rock-wrecker,439,438,90.0,physical,,User foregoes its next turn to recharge.,150.0,5.0,0,User foregoes its next turn to recharge.,selected-pokemon,rock,rock,11
sacred-sword,533,532,100.0,physical,,Ignores the target's stat modifiers.,90.0,15.0,0,Ignores the target's stat modifiers.,selected-pokemon,fighting,fighting,7
roar-of-time,459,458,90.0,special,,User foregoes its next turn to recharge.,150.0,5.0,0,User foregoes its next turn to recharge.,selected-pokemon,dragon,dragon,15
spacial-rend,460,459,95.0,special,,Has an increased chance for a critical hit.,100.0,5.0,0,Has an increased chance for a critical hit.,selected-pokemon,dragon,dragon,15
magma-storm,463,462,75.0,special,100.0,Prevents the target from fleeing and inflicts damage for 2-5 turns.,100.0,5.0,0,Prevents the target from fleeing and inflicts damage for 2-5 turns.,selected-pokemon,fire,fire,14
crush-grip,462,461,100.0,physical,,"Power increases against targets with more HP remaining, up to a maximum of 121 power.",,5.0,0,"Power increases against targets with more HP remaining, up to a maximum of 121 power.",selected-pokemon,normal,normal,19
shadow-force,467,466,100.0,physical,,"User vanishes, dodging all attacks, and hits next turn.  Hits through Protect and Detect.",120.0,5.0,0,"User vanishes, dodging all attacks, and hits next turn.  Hits through Protect and Detect.",selected-pokemon,ghost,ghost,17
lunar-dance,461,460,,status,,"User faints, and its replacement is fully healed.",,10.0,0,"User faints, and its replacement is fully healed.",user,psychic,psychic,8
heart-swap,391,390,,status,,User and target swap stat changes.,,10.0,0,User and target swap stat changes.,selected-pokemon,psychic,psychic,8
dark-void,464,463,50.0,status,,Puts the target to sleep.,,10.0,0,Puts the target to sleep.,all-opponents,dark,dark,16
seed-flare,465,464,85.0,special,40.0,Has a 40% chance to lower the target's Special Defense by two stages.,120.0,5.0,0,Has a 40% chance to lower the target's Special Defense by two stages.,selected-pokemon,grass,grass,6
judgment,449,448,100.0,special,,"If the user is holding a appropriate plate or drive, the damage inflicted will match it.",100.0,10.0,0,"If the user is holding a appropriate plate or drive, the damage inflicted will match it.",selected-pokemon,normal,normal,19
searing-shot,545,544,100.0,special,30.0,Has a 30% chance to burn the target.,100.0,5.0,0,Has a 30% chance to burn the target.,all-other-pokemon,fire,fire,14
v-create,557,556,95.0,physical,100.0,"Lowers the user's Defense, Special Defense, and Speed by one stage each.",180.0,5.0,0,"Lowers the user's Defense, Special Defense, and Speed by one stage each.",selected-pokemon,fire,fire,14
mat-block,561,560,,status,,Protects all friendly Pokémon from damaging moves.  Only works on the first turn after the user is sent out.,,10.0,0,Protects all friendly Pokémon from damaging moves.  Only works on the first turn after the user is sent out.,users-field,fighting,fighting,7
night-daze,539,538,95.0,special,40.0,Has a 40% chance to lower the target's accuracy by one stage.,85.0,10.0,0,Has a 40% chance to lower the target's accuracy by one stage.,selected-pokemon,dark,dark,16
horn-leech,532,531,100.0,physical,,Drains half the damage inflicted to heal the user.,75.0,10.0,0,Drains half the damage inflicted to heal the user.,selected-pokemon,grass,grass,6
shift-gear,508,507,,status,,Raises the user's Attack by one stage and its Speed by two stages.,,10.0,0,Raises the user's Attack by one stage and its Speed by two stages.,user,steel,steel,9
gear-grind,544,543,85.0,physical,,Hits twice in one turn.,50.0,15.0,0,Hits twice in one turn.,selected-pokemon,steel,steel,9
gear-up,674,673,,status,,Raises the Attack and Special Attack of all friendly Pokémon with plus or minus by one stage.,,20.0,0,Raises the Attack and Special Attack of all friendly Pokémon with plus or minus by one stage.,user-and-allies,steel,steel,9
water-shuriken,594,593,100.0,special,,Hits 2–5 times.,15.0,20.0,1,Hits 2–5 times.,selected-pokemon,water,water,12
head-charge,543,542,100.0,physical,,User receives 1/4 the damage it inflicts in recoil.,120.0,15.0,0,User receives 1/4 the damage it inflicts in recoil.,selected-pokemon,normal,normal,19
fire-lash,680,679,100.0,physical,100.0,Lowers the target's Defense by one stage after inflicting damage.,80.0,15.0,0,Lowers the target's Defense by one stage after inflicting damage.,selected-pokemon,fire,fire,14
fiery-dance,552,551,100.0,special,50.0,Has a 50% chance to raise the user's Special Attack by one stage.,80.0,10.0,0,Has a 50% chance to raise the user's Special Attack by one stage.,selected-pokemon,fire,fire,14
blue-flare,551,550,85.0,special,20.0,Has a 20% chance to burn the target.,130.0,5.0,0,Has a 20% chance to burn the target.,selected-pokemon,fire,fire,14
fusion-flare,558,557,100.0,special,,"With Fusion Bolt, inflicts double damage.",100.0,5.0,0,"With Fusion Bolt, inflicts double damage.",selected-pokemon,fire,fire,14
bolt-strike,550,549,85.0,physical,20.0,Has a 20% chance to paralyze the target.,130.0,5.0,0,Has a 20% chance to paralyze the target.,selected-pokemon,electric,electric,13
fusion-bolt,559,558,100.0,physical,,"With Fusion Flare, inflicts double damage.",100.0,5.0,0,"With Fusion Flare, inflicts double damage.",selected-pokemon,electric,electric,13
glaciate,549,548,95.0,special,100.0,Lowers the target's Speed by one stage.,65.0,10.0,0,Lowers the target's Speed by one stage.,all-opponents,ice,ice,10
secret-sword,548,547,100.0,special,,"Inflicts damage based on the target's Defense, not Special Defense.",85.0,10.0,0,"Inflicts damage based on the target's Defense, not Special Defense.",selected-pokemon,fighting,fighting,7
relic-song,547,546,100.0,special,10.0,Has a 10% chance to put the target to sleep.,75.0,10.0,0,Has a 10% chance to put the target to sleep.,all-opponents,normal,normal,19
techno-blast,546,545,100.0,special,,"If the user is holding a appropriate plate or drive, the damage inflicted will match it.",120.0,5.0,0,"If the user is holding a appropriate plate or drive, the damage inflicted will match it.",selected-pokemon,normal,normal,19
powder,600,599,100.0,status,,"Explodes if the target uses a fire move this turn, damaging it for 1/4 its max HP and preventing the move.",,20.0,1,"Explodes if the target uses a fire move this turn, damaging it for 1/4 its max HP and preventing the move.",selected-pokemon,bug,bug,18
kings-shield,588,587,,status,,Blocks damaging attacks and lowers attacking Pokémon's Attack by two stages on contact.  Switches Aegislash to Shield Forme.,,10.0,4,Blocks damaging attacks and lowers attacking Pokémon's Attack by two stages on contact.  Switches Aegislash to Shield Forme.,user,steel,steel,9
topsy-turvy,576,575,,status,,Inverts the target's stat modifiers.,,20.0,0,Inverts the target's stat modifiers.,selected-pokemon,dark,dark,16
parabolic-charge,570,569,100.0,special,,Heals the user for half the total damage dealt to all targets.,65.0,20.0,0,Heals the user for half the total damage dealt to all targets.,all-other-pokemon,electric,electric,13
electrify,582,581,,status,,Changes the target's move's type to electric if it hasn't moved yet this turn.,,20.0,0,Changes the target's move's type to electric if it hasn't moved yet this turn.,selected-pokemon,electric,electric,13
flying-press,560,559,95.0,physical,,Deals both fighting and flying-type damage.,100.0,10.0,0,Deals both fighting and flying-type damage.,selected-pokemon,fighting,fighting,7
fairy-lock,587,586,,status,,Prevents all Pokémon from fleeing or switching out during the next turn.,,10.0,0,Prevents all Pokémon from fleeing or switching out during the next turn.,entire-field,fairy,fairy,5
forests-curse,571,570,100.0,status,,Adds grass to the target's types.,,20.0,0,Adds grass to the target's types.,selected-pokemon,grass,grass,6
branch-poke,785,770,100.0,physical,,Inflicts regular damage with no additional effect.,40.0,40.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,grass,grass,6
trick-or-treat,567,566,100.0,status,,Adds ghost to the target's types.,,20.0,0,Adds ghost to the target's types.,selected-pokemon,ghost,ghost,17
geomancy,601,600,,status,,"Takes one turn to charge, then raises the user's Special Attack, Special Defense, and Speed by two stages.",,10.0,0,"Takes one turn to charge, then raises the user's Special Attack, Special Defense, and Speed by two stages.",user,fairy,fairy,5
oblivion-wing,613,612,100.0,special,,Drains 75% of the damage inflicted to heal the user.,80.0,10.0,0,Drains 75% of the damage inflicted to heal the user.,selected-pokemon,flying,flying,3
thousand-arrows,614,613,100.0,physical,100.0,"Grounds the target, and hits even Flying-type or levitating Pokémon.",90.0,10.0,0,"Grounds the target, and hits even Flying-type or levitating Pokémon.",all-opponents,ground,ground,4
thousand-waves,615,614,100.0,physical,,Prevents the target from leaving battle.,90.0,10.0,0,Prevents the target from leaving battle.,all-opponents,ground,ground,4
lands-wrath,616,615,100.0,physical,,Inflicts regular damage with no additional effect.,90.0,10.0,0,Inflicts regular damage with no additional effect.,all-opponents,ground,ground,4
core-enforcer,687,686,100.0,special,,Nullifies the target's ability if it moves earlier.,100.0,10.0,0,Nullifies the target's ability if it moves earlier.,all-opponents,dragon,dragon,15
diamond-storm,591,590,95.0,physical,50.0,Has a 50% chance to raise the user's Defense by two stages for each target hit.,100.0,5.0,0,Has a 50% chance to raise the user's Defense by two stages for each target hit.,all-opponents,rock,rock,11
hyperspace-hole,593,592,,special,,Ignores and destroys protection effects.,80.0,5.0,0,Ignores and destroys protection effects.,selected-pokemon,psychic,psychic,8
steam-eruption,592,591,95.0,special,30.0,Has a 30% chance to burn the target.,110.0,5.0,0,Has a 30% chance to burn the target.,selected-pokemon,water,water,12
spirit-shackle,662,661,100.0,physical,,Traps the target.,80.0,10.0,0,Traps the target.,selected-pokemon,ghost,ghost,17
beak-blast,690,689,100.0,physical,,Inflicts a burn on any Pokémon that makes contact before the attack.,100.0,15.0,-3,Inflicts a burn on any Pokémon that makes contact before the attack.,selected-pokemon,flying,flying,3
ice-hammer,665,664,90.0,physical,100.0,Lowers user's Speed by one stage.,100.0,10.0,0,Lowers user's Speed by one stage.,selected-pokemon,ice,ice,10
revelation-dance,686,685,100.0,special,,Has the same type as the user.,90.0,15.0,0,Has the same type as the user.,selected-pokemon,normal,normal,19
accelerock,709,708,100.0,physical,,Inflicts regular damage with no additional effect.,40.0,20.0,1,Inflicts regular damage with no additional effect.,selected-pokemon,rock,rock,11
baneful-bunker,661,660,,status,,Grants the user protection for the rest of the turn and poisons any Pokémon that tries to use a contact move on it.,,10.0,4,Grants the user protection for the rest of the turn and poisons any Pokémon that tries to use a contact move on it.,user,poison,poison,1
trop-kick,688,687,100.0,physical,100.0,Lowers the target's Attack by one stage after inflicting damage.,70.0,15.0,0,Lowers the target's Attack by one stage after inflicting damage.,selected-pokemon,grass,grass,6
floral-healing,666,665,,status,,"Heals the target for ½ its max HP, or ⅔ on Grassy Terrain.",,10.0,0,"Heals the target for ½ its max HP, or ⅔ on Grassy Terrain.",selected-pokemon,fairy,fairy,5
instruct,689,688,,status,,Forces the target to repeat its last used move.,,15.0,0,Forces the target to repeat its last used move.,selected-pokemon,psychic,psychic,8
shore-up,659,658,,status,,"Heals the user for ½ its max HP, or ⅔ during a sandstorm.",,5.0,0,"Heals the user for ½ its max HP, or ⅔ during a sandstorm.",user,ground,ground,4
purify,685,684,,status,,Cures the target of a major status ailment and heals the user for 50% of its max HP.,,20.0,0,Cures the target of a major status ailment and heals the user for 50% of its max HP.,selected-pokemon,poison,poison,1
